Patient arrives, via hospital wheelchair, Gait steady, History obtained from patient, Patient appears comfortable, Patient cooperative, alert, Oriented to person, place and time.	Complex assessment performed, Patient arrives ambulatory, Gait steady, History obtained from, parent, Patient appears comfortable, Patient cooperative, alert, Oriented to person, place and time.	3.0	0
oxycodone [ROXICODONE] 5 mg tablet 0.5-1 tablets by mouth every 4 hours as needed.	pantoprazole [PROTONIX] 40 mg tablet enteric coated 1 tablet by mouth Bid before meals.	1.0	1
The patient has missed 0 hours of work in the past seven days for issues not related to depression.	In the past year the patient has the following number of visits: none in the hospital  none in the er and  one as an outpatient.	0.0	0
Given current medication regimen, the following parameters should be monitored by outpatient providers: None	Given current medication regimen, the following parameters should be monitored by outpatient providers: lithium level	3.0	1
The diagnosis and treatment plan were explained to the family/caregiver who expressed understanding of the information presented.	Explained diagnosis and treatment plan; patient expressed adequate understanding of the information presented today.	4.0	0
nortriptyline [PAMELOR] 50 mg capsule 1 capsule by mouth every bedtime.	Tylenol Extra Strength 500 mg tablet 2 tablets by mouth every bedtime.	1.0	1
Spent 25 minutes with the patient and greater than 50% of this time was spent counseling the patient regarding diagnosis and available treatment options.	Spent 15 minutes with the patient and greater than 50% of this time was spent counseling the patient regarding diagnosis and available treatment options; 025 modifier.	4.0	0
Respiratory: Negative for cough, chest tightness, shortness of breath and stridor.	HENT: Negative for congestion, rhinorrhea, sinus pressure and sore throat.	2.5	0
ondansetron [ZOFRAN] 4 mg tablet 1 tablet by mouth three times a day as needed.	minocycline [MINOCIN] 50 mg capsule 1 capsule by mouth two times a day.	1.0	1
Explained diagnosis and treatment plan; patient/child/caregiver expressed understanding of the content	Explained diagnosis and treatment plan; patient/care giver expressed understanding of the content.	4.9	0
Identified Illness as a learning need, Identified Follow-up care as a learning need, No Barriers to learning were identified, No interventions were used to address Barriers to Learning, Teaching methods used included Printed Patient Instructions, Verbal Instructions, Patient verbalized an understanding of discharge teaching.	Patients primary language is English, Teaching methods used included Printed Patient Instructions, Verbal Instructions, Patient verbalized an understanding of discharge teaching.	3.0	0
Discussed the risks, benefits, alternatives, and the necessity of other members of the healthcare team, both male and female, participating in the procedure.	Informed consent for unsedated bone marrow:  Discussed risks, goals, and alternatives to bone marrow aspiration and biopsy, advance directives, and the necessity of other members of the healthcare team participating in the procedure with the patient.	3.25	0
bupropion [WELLBUTRIN XL] 300 mg tablet sustained release 24 hour 1 tablet by mouth one time daily.	Flintstones Complete chewable tablet 1 tablet by mouth two times a day.	2.0	1
The remainder of a complete comprehensive multi-system review of systems is negative except as above.	The remainder of the complete comprehensive multisystem review of systems is negative except as above.	5.0	0
No: new confusion or inability to stay alert and awake; feeling like you are going to pass out EVERY time you stand (or sit) up; blue or dusky lips, skin or nail beds; purple or red rash/blotches that stay when pressed by a glass (purpural rash); newly stiff or painful neck or puffiness around the eyes	No: newly stiff or painful neck; purple or red rash/blotches that stay when pressed by a glass (purpural rash); currently feeling like you are going to collapse every time you stand (sit); complete inability to swallow or currently struggling to breathe, even while inactive or resting	3.25	0
Respiratory assessment findings include respiratory effort easy, Respirations regular, Conversing normally, no signs of distress, no associated cough noted, fever.	Respiratory assessment findings include respiratory effort easy, Respirations regular, Conversing normally, no signs of distress, Breath sounds clear, to bilateral lower lobes, Neck and chest exam findings include trachea midline, no associated cough noted, fever.	3.0	0
Advised to call radiation oncology with questions and/or concerns.	Please page Phone Number with any questions or concerns.	1.5	0
Educational literature, developmentally age appropriate, provided at today's visit, including Caring for Your Three- to Five-Year-Old [].	Educational literature, developmentally age appropriate, provided at today's visit, including Caring for Your Five- to Seven-Year-Old [].	4.05	0
The patient has had a chance to have their questions about this procedure answered and wishes to proceed.	The patient was instructed to contact me with regard to any questions pertaining to the injection and to inform me of the results in a period of approximately two weeks.	2.75	0
Discussed the necessity of other members of the healthcare team participating in the procedure.	INFORMED CONSENT:  I discuss the risks, benefits, alternatives,  and the necessity of other members of the healthcare team participating in the procedure.	4.0	0
I have reviewed the history, physical examination, impression, report, and plan with the team in detail and agree with the documentation outlined in their notes from today.	After reviewing the patient's history, I interviewed the patient with the treatment team, collected additional data, and discussed treatment recommendations.	1.5	0
Identified Illness as a learning need, No Barriers to learning were identified, No interventions were used to address Barriers to Learning, Teaching methods used included Verbal Instructions, Patient verbalized an understanding of discharge teaching.	Identified Illness as a learning need, Patients primary language is English, Other identified Barriers to Learning included, age, Involved Family Member or Primary Caregiver to address Barriers to Learning, Teaching methods used included Printed Patient Instructions, Verbal Instructions, Patient verbalized an understanding of discharge teaching.	3.4	0
Identified Illness as a learning need, No Barriers to learning were identified, No interventions were used to address Barriers to Learning, Teaching methods used included Printed Patient Instructions, Patient verbalized an understanding of discharge teaching.	Identified Illness as a learning need, Patients primary language is English, No Barriers to learning were identified, No interventions were used to address Barriers to Learning, Teaching methods used included Verbal Instructions.	3.4	0
Community Support Resources Utilized By The Patient/Family:  Women, Infants, and Children Program (WIC) and Public Health.	Community support resources utilized by the patient/family:  Women, Infants, and Children Program (WIC), Minnesota Family Investment Program (MFIP), Social worker is involved.	3.5	0
Patient discharged to home, ambulating without assistance, driving self, unaccompanied, Above person(s) verbalized understanding of discharge instructions and follow-up care.	Patient discharged to home, ambulating without assistance, accompanied by parent, Discharge instructions given to mother, Discharge instructions given to father.	3.25	0
Tylenol tablet 2 tablets by mouth as needed.	furosemide [LASIX] 40 mg tablet 1 tablet by mouth two times a day.	1.0	1
No: new confusion or inability to stay alert and awake or purple or red rash/blotches that stay when pressed by a glass (purpural rash)	No: new confusion or inability to stay alert and awake; currently feeling like you are going to collapse every time you stand (sit); complete inability to swallow; newly painful neck with difficulty bending the neck; purple or red rash/blotches that stay when pressed by a glass (purpural rash) or pain, pressure or tightness in the chest, jaw or arm	2.5	0
lisinopril-HCTZ 10-12.5 mg tablet 1 tablet by mouth one time daily.	prednisone 5 mg tablet 2 tablets by mouth one time daily.	1.0	1
The patient's caregiver was ready to learn without barriers and understanding of the plan provided.	The patient will verbalize understanding of splint wear and care following one treatment session.	1.25	0
Patient arrives, via hospital wheelchair, History obtained from patient, Patient appears, in distress due to pain, Patient cooperative, alert, Oriented to person, place and time.	Complex assessment performed, Patient arrives, via stretcher, via Emergency Medical Services, Unsteady gait, Assistance to cart, History obtained from patient, Patient appears comfortable, Patient cooperative, alert, Oriented to person, place and time.	2.5	0
